Epoch,Train Dice Score,Val Dice Score,Train IoU,Val IoU,Train Precision,Val Precision,Train Recall,Val Recall,Train F1 Score,Val F1 Score,Train Accuracy,Val Accuracy,Train MAE,Val MAE,Train MSE,Val MSE,Epoch Time,Train BCE Loss,Val BCE Loss,Train Dice Loss,Val Dice Loss,Avg Prediction Time,Total Prediction Time
1,0.8204299178596574,0.9055091022163736,0.4102149589298287,0.4527545511081868,0.819954588457312,0.876533024699642,0.8340790962176786,0.9391062771872654,0.8204299129216164,0.9055090972298637,0.9593582627267543,0.9819429709694603,0.040641736219792314,0.01805702855269755,0.040641736219792314,0.01805702855269755,46.1118643283844,0.24733032399995458,0.1207032141185576,0.5586683791544702,0.09449089919367144,6.981330600506736e-05,0.13557744026184082
2,0.9174133324003891,0.9379667013008951,0.45870666620019457,0.46898335065044755,0.9259168812337362,0.9475321317590018,0.9097286494322065,0.9295188160718307,0.9174133274026113,0.9379666963039346,0.984032331909796,0.9887619600268054,0.015967667736630473,0.011238039696529027,0.015967667736630473,0.011238039696529027,45.0218071937561,0.08597306374253498,0.055046760266827,0.3013247036271625,0.062033291785947735,2.413478619529339e-05,0.046869754791259766
3,0.9347847865481478,0.9470212930154528,0.4673923932740739,0.4735106465077264,0.9412765403550988,0.9491655976402454,0.9288329202631103,0.9455072380713473,0.9347847815495712,0.9470212880171419,0.9873732765274819,0.9903805371952897,0.012626723159984168,0.00961946256669058,0.012626723159984168,0.00961946256669058,44.913899421691895,0.05182260238668985,0.038810493244278814,0.18767700427108341,0.05297870597531719,2.501528982521945e-05,0.04857969284057617
4,0.9483351934201983,0.9467757859248778,0.47416759671009917,0.4733878929624389,0.9517156709387208,0.9606335457337245,0.9452593892315151,0.9338609541062063,0.9483351884209745,0.9467757809273538,0.9899732894126811,0.9904111031003711,0.010026710311649367,0.009588896672451688,0.010026710311649367,0.009588896672451688,45.122729539871216,0.03762853673348824,0.03241963065679996,0.1328846932285362,0.05322420597076416,2.4751457937222922e-05,0.048067331314086914
5,0.9520797352238307,0.9504706529466723,0.47603986761191536,0.47523532647333616,0.955817044498815,0.9358864111949722,0.9486264607140846,0.9658875377911211,0.9520797302245495,0.9504706479488844,0.9907042366567285,0.9908308048192358,0.00929576309540102,0.009169195020090668,0.00929576309540102,0.009169195020090668,44.93589448928833,0.032385243710854814,0.029761946429648706,0.10973675755990876,0.04952934865028628,2.499711992320759e-05,0.04854440689086914
6,0.9547834745046777,0.95409556713293,0.47739173725233885,0.477047783566465,0.958566734062484,0.9613696855427217,0.9512466674753528,0.9472595032625647,0.9547834695052955,0.9540955621340635,0.9912130313449428,0.9917000904251054,0.00878696847616488,0.008299909411899505,0.00878696847616488,0.008299909411899505,45.046741008758545,0.029516407353286114,0.026706996193576242,0.09661376683248414,0.04590443641908707,2.605821764677855e-05,0.050605058670043945
7,0.9559038392146033,0.9526851775054718,0.47795191960730166,0.4763425887527359,0.9600178083916339,0.9363497189685561,0.9521860208734613,0.9702733965790038,0.9559038342156172,0.9526851725088901,0.9914406169544571,0.9911374250395206,0.008559382860160744,0.00886257479508077,0.008559382860160744,0.00886257479508077,44.99482440948486,0.027944722963083122,0.028991532752350453,0.08939203537172741,0.04731481882833665,2.7280020787467918e-05,0.052977800369262695
8,0.9596790792347577,0.955751290463547,0.47983953961737885,0.4778756452317735,0.9634439613690751,0.9680238617920442,0.9561055176393103,0.9444220884100116,0.959679074235228,0.9557512854660852,0.9921799368810176,0.9920505825725121,0.007820062966655113,0.007949417269217872,0.007820062966655113,0.007949417269217872,45.2313928604126,0.02542652668327921,0.026580395807902658,0.08052012738254335,0.044248717446481026,2.3215487369179848e-05,0.045084476470947266
9,0.9636046192912683,0.9583283076291581,0.48180230964563414,0.47916415381457905,0.9661916591422539,0.9614634858633907,0.9611870012437009,0.9554142031008571,0.9636046142916798,0.9583283026297048,0.9929353051233775,0.99245916730148,0.007064694719803002,0.007540832559067396,0.007064694719803002,0.007540832559067396,44.93663811683655,0.023138050675495632,0.023093026401775497,0.073582181500064,0.041671693325042725,2.6040538823199446e-05,0.05057072639465332
10,0.9653086276734187,0.9559677531349123,0.48265431383670937,0.47798387656745617,0.9679393386826339,0.9609272045799252,0.9628259259366576,0.9512846901381818,0.9653086226737724,0.9559677481356071,0.9932645246717668,0.99200126222851,0.006735475145332102,0.007998737611717755,0.006735475145332102,0.007998737611717755,45.103615522384644,0.021989211711722117,0.024507325202707323,0.06924651190638542,0.044032246835770145,2.4705051025327767e-05,0.04797720909118652
11,0.9663004074809705,0.9542743467586354,0.48315020374048523,0.4771371733793177,0.9686790262092556,0.9511663774052188,0.9640543978420555,0.9578068756886122,0.966300402481283,0.954274341759753,0.9934602756692905,0.9915827364655883,0.006539724178663973,0.008417263364178999,0.006539724178663973,0.008417263364178999,45.07456398010254,0.02127061917498294,0.024935520945056792,0.06691145938303736,0.04572565709390948,2.44865211227527e-05,0.04755282402038574
12,0.9630602324254709,0.9613991556966291,0.48153011621273545,0.4806995778483146,0.966234666135661,0.9611682162443346,0.9601114912696403,0.9618960349898412,0.9630602274260297,0.9613991506973041,0.9928201055045078,0.9929361275144336,0.007179894339060411,0.007063872301049771,0.007179894339060411,0.007063872301049771,44.976579427719116,0.022815077630285587,0.0229913535257501,0.06977910589840677,0.038600840876179356,2.6057358259521233e-05,0.050603389739990234
13,0.9680762486198486,0.9555504441464606,0.4840381243099243,0.4777752220732303,0.9700810639429035,0.9730939250242608,0.9661933188561979,0.9388973634157173,0.9680762436201342,0.9555504391487689,0.9938028655389345,0.9920839747096086,0.0061971343368188376,0.007916025096370329,0.0061971343368188376,0.007916025096370329,45.20401740074158,0.020277341349153884,0.02344796379968043,0.06301699951291084,0.04444955049022552,2.513805943340769e-05,0.048818111419677734
14,0.9691742532283241,0.9616490858247667,0.48458712661416203,0.48082454291238336,0.9716575398456642,0.973320698336679,0.9668273645572665,0.9506175642124681,0.969174248228646,0.9616490808264422,0.9940181127220692,0.9931376867210412,0.005981887128048887,0.006862313073549059,0.005981887128048887,0.006862313073549059,45.1641058921814,0.019652623838434618,0.022671218330581343,0.06104448147945934,0.03835091860063614,2.527347431123932e-05,0.04908108711242676
15,0.9711676586106631,0.9609408170350769,0.48558382930533156,0.48047040851753847,0.9732583758250026,0.951611378751294,0.9691733782685085,0.9708006137627464,0.971167653610882,0.9609408120364547,0.9943970339226005,0.992802070326819,0.005602965939841751,0.007197929456109001,0.005602965939841751,0.007197929456109001,45.020169258117676,0.01864942863014423,0.02261580268461858,0.058170380691687264,0.039059179444466866,2.4949976393663307e-05,0.04845285415649414
16,0.9695601990093556,0.9621062331864583,0.4847800995046778,0.48105311659322914,0.9722677906303703,0.9627130325266662,0.9669570564908815,0.9617129066695602,0.9695601940095953,0.962106228186988,0.9940897007181189,0.9931163100972552,0.005910299158939678,0.006883689758157538,0.005910299158939678,0.006883689758157538,45.171976804733276,0.019386978606538225,0.02147992135536286,0.05960245430469513,0.037893770202513666,2.394719423398176e-05,0.04650545120239258
17,0.9707946931527172,0.9610318256039408,0.4853973465763586,0.4805159128019704,0.9726129638231567,0.954019716112692,0.969070644520088,0.9684550078558641,0.9707946881529304,0.9610318206050005,0.9943267756760723,0.9928305259547975,0.005673224200210016,0.007169473901270858,0.005673224200210016,0.007169473901270858,45.1366240978241,0.018618325198379655,0.022206639089891986,0.05769435274932119,0.03896817084281675,2.4072173695117387e-05,0.04674816131591797
18,0.9726145952953702,0.9618789713660774,0.4863072976476851,0.4809394856830387,0.974680791958909,0.9724359814638986,0.9706272501094525,0.9516893655206831,0.9726145902955421,0.9618789663670086,0.9946774746673275,0.9931532336819556,0.0053225252179092625,0.0068467662053843656,0.0053225252179092625,0.0068467662053843656,44.937798261642456,0.017763709436015535,0.022356255971375975,0.05527861416339874,0.03812103117665937,2.5434179728357726e-05,0.0493931770324707
19,0.9723189705435851,0.958515458753521,0.48615948527179254,0.4792577293767605,0.9739172218823029,0.9569171741422136,0.9707858441133053,0.9605801990988613,0.9723189655437218,0.9585154537547514,0.9946230770843189,0.9923716078056269,0.005376922797747991,0.007628392075158415,0.005376922797747991,0.007628392075158415,45.000388383865356,0.01787666281193702,0.02391968508281054,0.05541397217247221,0.041484542431369904,2.5114242129419173e-05,0.04877185821533203
20,0.9753382212083286,0.9638369266171138,0.4876691106041643,0.4819184633085569,0.9768873394434018,0.9565054651870134,0.9738308182490307,0.9714444786343219,0.9753382162084048,0.9638369216178045,0.9952086250228108,0.9933624768746563,0.004791374866423818,0.006637523003343132,0.004791374866423818,0.006637523003343132,44.95849418640137,0.016460066829394136,0.02174395439966071,0.05164161614245839,0.03616307435497161,2.5127869555928068e-05,0.048798322677612305
21,0.9764800016401656,0.9625609396094197,0.4882400008200828,0.48128046980470984,0.9778998285712911,0.956301396078411,0.9751152871470984,0.9691192540143576,0.9764799966402765,0.9625609346101698,0.9954294308749113,0.9931347405665781,0.0045705690216790475,0.006865259312513855,0.0045705690216790475,0.006865259312513855,45.22028923034668,0.015929828676032938,0.023007126374831124,0.050057156632343926,0.0374390636720965,2.3667647836137138e-05,0.04596257209777832
22,0.9770989931367376,0.963506807190744,0.4885494965683688,0.481753403595372,0.9785151775995337,0.9550579102086372,0.9757242243212025,0.972404480871557,0.9770989881368131,0.9635068021919115,0.9955555016103417,0.9932740260149377,0.004444498295520639,0.006725973870244718,0.004444498295520639,0.006725973870244718,45.160080909729004,0.015663233139396954,0.022272066784001166,0.049207090917560786,0.03649319179596439,2.4785219579474687e-05,0.048132896423339844
23,0.9773077782758942,0.9632030342599827,0.4886538891379471,0.48160151712999133,0.9785134029436041,0.9647676798817464,0.9761317031274453,0.9618268259767443,0.9773077732759395,0.9632030292604423,0.9955885449804445,0.9933337205456146,0.0044114549236837775,0.006666279277734218,0.0044114549236837775,0.006666279277734218,45.126795053482056,0.015531232244231634,0.022042071086264426,0.04873521584603521,0.03679696398396646,2.4204151023919747e-05,0.04700446128845215
24,0.9786850167213061,0.9637528707462022,0.4893425083606531,0.4818764353731011,0.979925591955053,0.9571974474174116,0.9774772239022007,0.9706718850864656,0.9786850117213598,0.9637528657471429,0.9958534348613084,0.9933307672316029,0.004146565041284905,0.006669232629299644,0.004146565041284905,0.006669232629299644,45.00281858444214,0.014950812968891114,0.022793853084646886,0.0471402725411786,0.0362471342086792,2.602973509767888e-05,0.05054974555969238
25,0.9791540714441275,0.9644647745306946,0.48957703572206374,0.4822323872653473,0.9802904748682448,0.9632238647822368,0.9780409843470991,0.9659226907492192,0.9791540664441568,0.9644647695312335,0.9959509127067796,0.9935209087472505,0.004049087201969491,0.006479091153690411,0.004049087201969491,0.006479091153690411,45.00451064109802,0.014714658428500924,0.022448202264645407,0.04642152786254883,0.035535227867864796,2.4213972592574806e-05,0.04702353477478027
26,0.9792748735645023,0.9634535815523907,0.48963743678225113,0.48172679077619535,0.9804128153184991,0.9601213759177887,0.9781710990940713,0.9670582682636127,0.9792748685645589,0.9634535765530883,0.9959720172304092,0.9932795925643785,0.004027982678962871,0.006720407295130914,0.004027982678962871,0.006720407295130914,45.06342172622681,0.014638352686435811,0.023113155016495336,0.04622796177864075,0.03654641682101834,2.6003094092702032e-05,0.050498008728027344
27,0.9796520225491349,0.9627937361684713,0.48982601127456743,0.48139686808423565,0.9809352205786198,0.9569220556766982,0.9783900664873149,0.9690845460634175,0.9796520175491585,0.9627937311695605,0.9960492613821317,0.9931531835651118,0.003950738546942982,0.006846816271483418,0.003950738546942982,0.006846816271483418,45.03497815132141,0.014459140980357511,0.02387021854519844,0.04567333021097713,0.0372062575432562,2.4697562079228285e-05,0.04796266555786133
28,0.9796523668027207,0.9621216275018596,0.48982618340136036,0.4810608137509298,0.9807171694351798,0.952444972316517,0.9786256428160445,0.9724023954445209,0.9796523618027876,0.9621216225034597,0.9960465768370965,0.9929817553209767,0.00395342308588119,0.007018244547408915,0.00395342308588119,0.007018244547408915,45.04477071762085,0.014465417577108989,0.024238127944690567,0.045626815822389394,0.037878372976856846,2.423680773969782e-05,0.047067880630493164
29,0.9803871890253686,0.9642227310677215,0.4901935945126843,0.48211136553386075,0.9815797628782627,0.9647233556777624,0.9792154308307511,0.9639017010731576,0.9803871840253903,0.9642227260681602,0.996186631327928,0.993478857135493,0.0038133685916869175,0.006521142666198073,0.0038133685916869175,0.006521142666198073,45.140262603759766,0.01420807348848838,0.0235943297945684,0.04494290591941939,0.035777270793914795,2.4246383769136503e-05,0.047086477279663086
30,0.9807302861822524,0.9635464554854997,0.4903651430911262,0.48177322774274983,0.9819361321343383,0.9592160386030867,0.979544609606619,0.9682148271814132,0.9807302811822723,0.9635464504863747,0.9962534871727526,0.9932941103401073,0.0037465127259363523,0.006705889478325844,0.0037465127259363523,0.006705889478325844,45.122426986694336,0.014022244412141541,0.023732151265346235,0.04438597501979934,0.036453539325344946,2.4279531563347327e-05,0.04715085029602051
