Epoch,Train Dice Score,Val Dice Score,Train IoU,Val IoU,Train Precision,Val Precision,Train Recall,Val Recall,Train F1 Score,Val F1 Score,Train Accuracy,Val Accuracy,Train MAE,Val MAE,Train MSE,Val MSE,Epoch Time,Train BCE Loss,Val BCE Loss,Train Dice Loss,Val Dice Loss,Avg Train FPS,Avg Val FPS,Avg Prediction Time,Total Prediction Time
1,0.6835124271227222,0.8487166464722385,0.5413267435954692,0.7434194881886401,0.7934655711919276,0.8383293650418521,0.6670010537706111,0.8681940045935388,0.6835124224915585,0.848716641499996,0.9812983906525575,0.9898729423868315,0.018701609373757883,0.010127057631810507,0.018701609373757883,0.010127057631810507,63.58975291252136,0.049982483645102806,0.028420511757334073,0.40872980185917446,0.15128335158030193,11.074850689144291,16.195833099504867,0.007658847173055013,0.2297654151916504
2,0.8153135672433075,0.8101981946544435,0.6993955376728351,0.7011983584088852,0.831447039319748,0.7361018602780075,0.829520154566847,0.9307102011578461,0.8153135623427453,0.8101981898164669,0.9879144620811289,0.9850192901234569,0.012085537873541137,0.014980709944696476,0.012085537873541137,0.014980709944696476,48.036776542663574,0.02867262444591948,0.03582760343949,0.2810306753431048,0.18980180422465007,15.471067990673768,16.15469587156882,0.009360440572102864,0.28081321716308594
3,0.8120154127386188,0.5820242868935033,0.7013114882885857,0.43087542397363243,0.8323567998643165,0.44475926917551173,0.8361839677679384,0.9047646685457901,0.8120154078987565,0.5820242826148351,0.9880097001763669,0.9570748456790125,0.011990299792627671,0.042925154247010745,0.011990299792627671,0.042925154247010745,44.98254680633545,0.030837962736508677,0.10577913308516144,0.28282531499862673,0.41797571182250975,15.292578407588044,14.883550161392371,0.016490427652994792,0.49471282958984375
4,0.8330974072534569,0.8447506773306738,0.7261417823889884,0.7440966004764297,0.8482883857396739,0.9067592539947781,0.848308027374431,0.8050690234504335,0.8330974023566479,0.8447506724028617,0.9893552689594356,0.9897993827160492,0.010644731028670711,0.010200617159716785,0.010644731028670711,0.010200617159716785,44.927775621414185,0.026501486909442713,0.028861489985138176,0.25081458176885335,0.15524932344754536,15.515258101217594,16.116576058590304,0.00872806708017985,0.2618420124053955
5,0.8806133892416398,0.8743683623213613,0.7939818067033889,0.7853030821880621,0.8816663875694405,0.8698769255831459,0.8972522207136355,0.8909136391515019,0.8806133842960446,0.8743683573578228,0.9925037477954143,0.9911900720164607,0.0074962522144362866,0.008809927934392666,0.0074962522144362866,0.008809927934392666,44.43748641014099,0.019374355843423733,0.025289945676922797,0.19766631296702794,0.1256316363811493,14.956892904477884,16.00893850313406,0.009471646944681804,0.2841494083404541
6,0.9088639765352525,0.8789883353562116,0.8376754693504254,0.7929712598401172,0.8998815607900406,0.8965695961379143,0.9268640021843353,0.8693284487714525,0.9088639715615479,0.8789883303795112,0.9944445546737214,0.991281121399177,0.0055554453083979235,0.008718878671061248,0.0055554453083979235,0.008718878671061248,45.15542197227478,0.014976212894544006,0.025885418453253806,0.14837433270045688,0.12101166248321533,15.406785914459862,15.404796516432429,0.01661241054534912,0.49837231636047363
7,0.9231011112562258,0.8452723865442103,0.8602529539535035,0.7466682703080356,0.9148523000789335,0.9470507188175209,0.9366389294651023,0.7745954597107302,0.9231011062701321,0.8452723816455521,0.9952012786596118,0.990823559670782,0.00479872133749138,0.009176440302204962,0.00479872133749138,0.009176440302204962,44.446279525756836,0.012801057625828045,0.032148870367867254,0.1273266843387059,0.15472761392593384,15.498051139122907,15.952843253185678,0.009888513882954916,0.29665541648864746
8,0.9385281101918419,0.8494179846931886,0.8852083252076639,0.757235338810632,0.9306373866934214,0.9279415105286727,0.9485019675689744,0.7962737126224546,0.9385281051959375,0.8494179797887917,0.9961582892416228,0.9909459876543212,0.0038417107475522375,0.009054012193034092,0.0038417107475522375,0.009054012193034092,46.91001224517822,0.01049759992997029,0.03897491415652136,0.10514099597930908,0.15058201750119526,14.272575545516508,15.874164418031754,0.010087116559346517,0.3026134967803955
9,0.9412553219509758,0.8784221868079954,0.8905522765601466,0.7936543946679175,0.9369491651874331,0.893597059286184,0.947044957357713,0.8719518189296646,0.9412553169534622,0.8784221818335716,0.996401455026455,0.991809927983539,0.003598544986120292,0.008190072063977519,0.003598544986120292,0.008190072063977519,44.65400290489197,0.009915808094332793,0.028711836820002647,0.09649656244686672,0.1215778132279714,14.805022834227731,14.941467463518839,0.015004817644755046,0.45014452934265137
10,0.9465790034328834,0.8572850415885258,0.899940072086328,0.7687230078067625,0.9407472942282703,0.9333986079666677,0.9535501209680547,0.805633059366666,0.9465789984344273,0.8572850366789522,0.9966213624338626,0.9910833333333334,0.003378637561192071,0.008916666762282451,0.003378637561192071,0.008916666762282451,44.99032115936279,0.00926780997708972,0.03859246151211361,0.09091043557439532,0.14271495540936788,15.192006514320552,15.74225114389529,0.008964943885803222,0.2689483165740967
11,0.9538879488514941,0.8811466329358937,0.9125629453971247,0.7995887402979666,0.9477400506585152,0.9159863094590983,0.9607280285581341,0.8581376884680451,0.9538879438517548,0.8811466279729356,0.9971371252204585,0.9919796810699585,0.002862874767743051,0.008020318932055185,0.002862874767743051,0.008020318932055185,43.957972288131714,0.00813476371113211,0.03164475162823995,0.07957869342395238,0.11885337034861247,14.598321429073971,15.877665786362575,0.0097505251566569,0.29251575469970703
