Epoch,Train Dice Score,Val Dice Score,Train IoU,Val IoU,Train Precision,Val Precision,Train Recall,Val Recall,Train F1 Score,Val F1 Score,Train Accuracy,Val Accuracy,Train MAE,Val MAE,Train MSE,Val MSE,Epoch Time,Train BCE Loss,Val BCE Loss,Train Dice Loss,Val Dice Loss,Avg Train FPS,Avg Val FPS,Avg Prediction Time,Total Prediction Time
1,0.6935322375449605,0.7598707164472176,0.5550961619744393,0.6349693934949046,0.8178422699203276,0.8880448950752171,0.6722282569381705,0.6972915626295297,0.693532232948256,0.759870711698025,0.9816866181657847,0.9846440329218108,0.018313381774351,0.015355967012389253,0.018313381774351,0.015355967012389253,84.50683975219727,0.053129774199000425,0.038379396637901665,0.3931659664426531,0.24012928009033202,11.111641039547013,16.966279166347555,0.005649105707804362,0.16947317123413086
2,0.8155093857819137,0.8164587561695307,0.6992340382934198,0.7150586926895274,0.8531851063055714,0.8559364178772064,0.8121033529933346,0.7927577526318218,0.8155093808947179,0.8164587513844573,0.9884900793650794,0.9889670781893005,0.011509920546918044,0.011032921785954386,0.011509920546918044,0.011032921785954386,41.77239966392517,0.028589209342109307,0.02774405578772227,0.2787931910582951,0.18354124426841736,17.6025998974665,17.25962244740497,0.009087554613749186,0.2726266384124756
3,0.8385970930375705,0.8275040708552939,0.732591239724076,0.7282571573732995,0.851599569338379,0.905325800730237,0.8567456907587389,0.7879084329472547,0.8385970881377243,0.827504066002108,0.9899723324514991,0.9880372942386833,0.01002766755326385,0.011962705771050726,0.01002766755326385,0.011962705771050726,45.39990282058716,0.0257481169820364,0.03315815126212935,0.24549269591059003,0.17249593337376912,18.3515125649496,17.791356532907947,0.00797578493754069,0.2392735481262207
4,0.8581855366449553,0.857033548430124,0.763645861919202,0.7614135936859338,0.8788863708778191,0.8250125617870999,0.8657536046414435,0.9060779380482363,0.8581855317399475,0.8570335434848796,0.9913029100529099,0.9890331790123456,0.008697089946196813,0.010966820952792963,0.008697089946196813,0.010966820952792963,41.37115788459778,0.021942240581847728,0.029393090726807715,0.20577243736812045,0.14296645124753316,17.10850309874663,17.618746040025062,0.007626199722290039,0.22878599166870117
5,0.910361251433125,0.8735762471810568,0.8399282886072237,0.7836958672394504,0.9037916065580655,0.8880821346103661,0.9245534895165634,0.8697723423661482,0.9103612464551428,0.873576242212843,0.9945661375661371,0.9909938271604937,0.005433862425187337,0.00900617266112628,0.005433862425187337,0.00900617266112628,41.649795055389404,0.014534867095894048,0.028116235959654054,0.1465496506009783,0.12642375429471334,18.36588269419068,17.185058686778092,0.007960788408915202,0.23882365226745605
6,0.9132313369772277,0.8467441521271508,0.8451848532661549,0.7512756831953935,0.9030413502248132,0.8738677313349151,0.9318242042508249,0.8460689161130623,0.9132313320012135,0.8467441472281912,0.9947933201058198,0.9882754629629631,0.00520667988873486,0.011724536931918312,0.00520667988873486,0.011724536931918312,40.3668007850647,0.013468711440717535,0.04202362575257818,0.13035556929452077,0.15325585007667542,17.20099343506091,17.873375841668878,0.007324639956156413,0.21973919868469238
7,0.9165558312783738,0.7726205242075339,0.8500907273412452,0.648777165359437,0.9155084214318328,0.8063851477019376,0.9250948055482697,0.783380783911565,0.9165558262994825,0.7726205193681017,0.9946903659611993,0.984034465020576,0.0053096340216663,0.01596553493485165,0.0053096340216663,0.01596553493485165,42.00503206253052,0.013712752138131432,0.05650245059126367,0.12858203564371382,0.2273794710636139,18.193131267765104,17.380317657465426,0.00747991402943929,0.2243974208831787
8,0.8938368856303166,0.8209364715277504,0.8157379410094684,0.7265793666114485,0.8895367379535412,0.9332713127274104,0.9135454853750927,0.770888895443969,0.8938368806785201,0.8209364667819689,0.9934722222222224,0.9887155349794238,0.00652777782483359,0.011284464892620841,0.00652777782483359,0.011284464892620841,41.07834243774414,0.01693823903666011,0.03867475720277677,0.16241961462157115,0.17906352480252583,18.07498549882741,17.334544725656144,0.0074330329895019535,0.2229909896850586
9,0.9370723735175024,0.8783008725342074,0.8843064581588642,0.7941544959097119,0.9299741021378953,0.930923063347194,0.9477383573148271,0.8450168194374944,0.9370723685262394,0.8783008675949869,0.9960801366843033,0.9924341563786007,0.003919863287176538,0.007565843634074554,0.003919863287176538,0.007565843634074554,42.32886362075806,0.010860404902736523,0.02277985311423739,0.10291402084486825,0.12169912656148275,18.09238897308208,17.474133366218208,0.0072288115819295245,0.21686434745788574
10,0.9527388001271977,0.8882683777920988,0.9108379262302636,0.8083930948048897,0.9493841912180485,0.9116954261315027,0.9575938625105038,0.8803137093541236,0.952738795129882,0.8882683728406797,0.9971332671957672,0.9923063271604939,0.0028667327794080068,0.007693672847623626,0.0028667327794080068,0.007693672847623626,44.47627568244934,0.007927722184519682,0.026078995033943404,0.07817068696022034,0.11173162460327149,17.719223589977506,17.658946010514043,0.007514190673828125,0.22542572021484375
