Epoch,Train Dice Score,Val Dice Score,Train IoU,Val IoU,Train Precision,Val Precision,Train Recall,Val Recall,Train F1 Score,Val F1 Score,Train Accuracy,Val Accuracy,Train MAE,Val MAE,Train MSE,Val MSE,Epoch Time,Train BCE Loss,Val BCE Loss,Train Dice Loss,Val Dice Loss,Avg Prediction Time,Total Prediction Time
1,0.7900910059797287,0.9128035118721216,0.39504550298986435,0.4564017559360608,0.8140521745059567,0.9234402082347004,0.7808811349108817,0.9035910558964363,0.7900910010533108,0.9128035068761194,0.9554993662208019,0.9844956240835779,0.04450063292946046,0.015504375610861086,0.04450063292946046,0.015504375610861086,88.76516509056091,0.18874450964439246,0.06538524923305358,0.4777219601803356,0.08719649045698104,0.00012747757712304285,0.24756145477294922
2,0.9115711786116444,0.9368245296290783,0.4557855893058222,0.4684122648145391,0.91808104495343,0.9514724158724112,0.9058002291258772,0.9233686334467917,0.9115711736136524,0.9368245246323103,0.9829047960223574,0.9886689556938463,0.017095203679572377,0.01133104401730722,0.017095203679572377,0.01133104401730722,88.00324964523315,0.058090075850486755,0.03846211743450934,0.20015294932656819,0.06317547252101283,3.177510722167215e-05,0.061707258224487305
3,0.9333628518824804,0.9466088081493911,0.4666814259412402,0.47330440407469554,0.94008476589917,0.9448081099891507,0.9273351671598117,0.9490991250658684,0.9333628468843271,0.946608803151237,0.9871232208097823,0.9901875443892045,0.012876778912161373,0.009812455323915328,0.012876778912161373,0.009812455323915328,87.96088814735413,0.04060319381662541,0.030721158750595584,0.13299799213806787,0.053391185499006705,3.024060988892733e-05,0.058727264404296875
4,0.9462860337792937,0.9412014044671932,0.47314301688964683,0.4706007022335966,0.9502650303903835,0.9428300333844535,0.9426530608898448,0.9407794973724595,0.9462860287801811,0.9412013994705205,0.9895718514798865,0.9892051325375734,0.010428148276534759,0.01079486723568651,0.010428148276534759,0.01079486723568651,88.06358790397644,0.032629509922116995,0.03163784844500403,0.10316341618696849,0.058798595782249205,3.0409049791361595e-05,0.05905437469482422
5,0.9485245485704722,0.9543858689036445,0.4742622742852361,0.47719293445182226,0.9529049661847667,0.9622071514370145,0.9444456237585843,0.9468676311931461,0.9485245435712437,0.9543858639044076,0.9900183448406182,0.991767834078881,0.009981654978926398,0.008232165758888568,0.009981654978926398,0.008232165758888568,88.03621053695679,0.030531712316183582,0.025258319091893012,0.09451845329668787,0.04561413103534329,3.399932421321849e-05,0.06602668762207031
6,0.955115700029817,0.9548718004784246,0.4775578500149085,0.4774359002392123,0.9587126936933363,0.9649093067474789,0.9518130062406011,0.9455570790980053,0.9551156950305617,0.9548717954803503,0.9912907945266878,0.991917225230824,0.00870920528864695,0.008082774685575597,0.00870920528864695,0.008082774685575597,88.02504348754883,0.02695537895326399,0.02512815174075865,0.08263976582222515,0.04512819743925525,2.9409950719925697e-05,0.0571141242980957
7,0.9599530686250133,0.9571174802188446,0.47997653431250664,0.4785587401094223,0.9629920704709602,0.9487370363355437,0.9570843002402734,0.9662120366417662,0.9599530636254292,0.9571174752207614,0.9922185396907304,0.9920379996649332,0.007781460143936177,0.007962000210799517,0.007781460143936177,0.007962000210799517,88.25453281402588,0.02455473080691364,0.02379926997086694,0.07492065967784987,0.04288252130631478,3.1251003764316546e-05,0.060689449310302734
8,0.961381548232043,0.9562708424224775,0.4806907741160215,0.47813542121123875,0.9636632254270978,0.9757514968555645,0.9592584647738316,0.937923076740674,0.9613815432324273,0.9562708374254687,0.9924947915896026,0.9922503053547699,0.007505208227990402,0.007749694527216976,0.007505208227990402,0.007749694527216976,87.97940111160278,0.023524586473488145,0.023977117913384593,0.07153024069137043,0.04372915529435681,2.9907167633088068e-05,0.05807971954345703
9,0.9629907509367579,0.9604508432699864,0.48149537546837895,0.4802254216349932,0.9650144227946574,0.9715507584256999,0.9611261297578315,0.9499366723243162,0.9629907459371427,0.9604508382715017,0.9928065652558298,0.9929307327941715,0.007193434592207066,0.007069267002084563,0.007193434592207066,0.007069267002084563,88.16309881210327,0.022653003520746198,0.022247785371878454,0.0685295710961024,0.03954915846547773,3.059725560071417e-05,0.059419870376586914
10,0.9658815106952492,0.9614851696006065,0.4829407553476246,0.48074258480030324,0.9679960630188948,0.9615359274610298,0.9638661119579539,0.9616481281275429,0.9658815056954757,0.9614851646011344,0.9933674348002737,0.9929677727215452,0.006632565042107469,0.007032227139138887,0.006632565042107469,0.007032227139138887,88.04986000061035,0.021235575537300773,0.021968386917104645,0.06451953368054496,0.03851483137376847,2.984345020643837e-05,0.05795598030090332
11,0.9649941296107978,0.9591067479203224,0.4824970648053989,0.4795533739601612,0.9675240689062766,0.9554672439162575,0.9625743223569491,0.9630680932491845,0.9649941246110537,0.9591067429211445,0.9932022245002514,0.9925167551348286,0.00679777533837801,0.00748324473839133,0.00679777533837801,0.00748324473839133,88.06121301651001,0.02167776515448673,0.02261156534716006,0.06532321704758538,0.04089325089608469,3.0188555575055518e-05,0.05862617492675781
12,0.9677685795451099,0.9605671979863897,0.48388428977255493,0.48028359899319484,0.9699939825816867,0.9714229535251625,0.965672114954995,0.9501174385083939,0.9677685745454139,0.960567192987413,0.9937386842207476,0.9929228841384485,0.006261315636543764,0.007077115678018139,0.006261315636543764,0.007077115678018139,88.16246676445007,0.020228527175883453,0.021641338093867226,0.06140500803788503,0.03943280443068473,3.0475222610175057e-05,0.05918288230895996
13,0.9693486933943442,0.963345232228731,0.4846743466971721,0.4816726161143655,0.9711423511883618,0.9577812168664751,0.9676685142559331,0.9692769123187049,0.9693486883946068,0.9633452272296701,0.9940476353963218,0.9933146528764203,0.005952364474069327,0.0066853469733389155,0.005952364474069327,0.0066853469733389155,88.12286734580994,0.01939788971665419,0.021228297793817137,0.05894242020116912,0.036654760760645715,3.146670996590329e-05,0.06110835075378418
14,0.9713776606653121,0.9632610964549253,0.48568883033265603,0.48163054822746265,0.9732308443780422,0.9594975503255256,0.9696093761877886,0.96737079068576,0.9713776556655004,0.9632610914558086,0.9944410651621192,0.9933074002531616,0.005558934706237374,0.006692599625356736,0.005558934706237374,0.006692599625356736,87.99257135391235,0.01836647102997328,0.020852739682361003,0.05633532628417015,0.03673890136903332,3.0861701336751635e-05,0.05993342399597168
15,0.9712909617671462,0.9602896746471967,0.4856454808835731,0.48014483732359836,0.9733950615203624,0.9422572542453871,0.9692797371633994,0.979576289893353,0.9712909567673554,0.9602896696505506,0.9944280971180309,0.9925328659102364,0.005571902755440937,0.00746713396942904,0.005571902755440937,0.00746713396942904,88.0441997051239,0.01843599391092236,0.02291957583398588,0.056262714995278254,0.03971032173402848,3.0386582953063148e-05,0.05901074409484863
16,0.970907512745767,0.9619853114591058,0.4854537563728835,0.4809926557295529,0.9729068786616908,0.9612419520817198,0.9689951077918918,0.9630040854326787,0.970907507745961,0.9619853064598013,0.9943497887043043,0.9930724220611482,0.005650211157949848,0.006927577756165016,0.005650211157949848,0.006927577756165016,88.04410767555237,0.018544117163401097,0.02199920341973343,0.05652025548948182,0.03801469072218864,3.034729667844291e-05,0.05893445014953613
17,0.9741565208279224,0.9666049537685936,0.4870782604139612,0.4833024768842968,0.9757409086082048,0.9735201261953692,0.9726224652017282,0.9598966803722857,0.9741565158280208,0.9666049487691011,0.9949814675071023,0.993989377734948,0.005018532374783212,0.006010622131608186,0.005018532374783212,0.006010622131608186,88.05602145195007,0.017051792548348505,0.020241174726716934,0.05250657474001249,0.0333950481107158,3.102731753819757e-05,0.06025505065917969
18,0.9756298818834755,0.9660237405449084,0.4878149409417378,0.4830118702724542,0.9771956168590827,0.9595507475551657,0.9741076241566713,0.972792812537819,0.9756298768835561,0.9660237355456499,0.9952626184020377,0.9938063510212382,0.00473738148704999,0.006193648836004638,0.00473738148704999,0.006193648836004638,87.98406291007996,0.016400009827015713,0.021243112732566172,0.050765144328276314,0.03397625684738159,3.153840741708522e-05,0.06124758720397949
19,0.9757663313575056,0.9661813039401612,0.4878831656787528,0.4830906519700806,0.9773916461456769,0.9614367978570361,0.9741867120526178,0.9711192640879662,0.9757663263575923,0.9661812989406343,0.9952926670421256,0.9938237075581929,0.004707332847626983,0.006176292325460141,0.004707332847626983,0.006176292325460141,88.12432265281677,0.016278917163920898,0.021092162647795294,0.05050856454504861,0.033818698698474516,3.0498303296514448e-05,0.059227705001831055
20,0.9762159722809606,0.9653283750250207,0.4881079861404803,0.48266418751251033,0.977715325815385,0.9760338973207309,0.9747595901199032,0.9550566079196833,0.9762159672810409,0.9653283700261223,0.9953764959778447,0.9937648560644247,0.004623503912524838,0.006235143823188639,0.004623503912524838,0.006235143823188639,87.95945405960083,0.016000615077144984,0.02093373224019043,0.04975157893366284,0.03467162578336654,3.108587864130336e-05,0.06036877632141113
