Epoch,Train Dice Score,Val Dice Score,Train IoU,Val IoU,Train Precision,Val Precision,Train Recall,Val Recall,Train F1 Score,Val F1 Score,Train Accuracy,Val Accuracy,Train MAE,Val MAE,Train MSE,Val MSE,Epoch Time,Train BCE Loss,Val BCE Loss,Train Dice Loss,Val Dice Loss,Avg Prediction Time,Total Prediction Time
1,0.8154707002064006,0.9090933384330789,0.4077353501032003,0.45454666921653947,0.8173567147942998,0.9591215728657788,0.8259668244513381,0.8661734654175063,0.8154706952732182,0.9090933334533736,0.9571723945694739,0.9844531250000003,0.042827604338526726,0.015546874668929846,0.042827604338526726,0.015546874668929846,50.39734148979187,0.2666217852383852,0.12533491729728638,0.5789248757064342,0.0909066661711662,8.50152527389762e-05,0.1650996208190918
2,0.917262230458111,0.9240005584682375,0.4586311152290555,0.46200027923411874,0.9233595817904783,0.9035080017008588,0.9119203138356357,0.9463911132023053,0.9172622254601563,0.9240005534733601,0.9839913805566654,0.98590132637807,0.01600861912851946,0.014098673322868923,0.01600861912851946,0.014098673322868923,49.63341450691223,0.08981081659698652,0.06132547401132122,0.3130386546254158,0.07599943491720385,3.058534694871991e-05,0.05939674377441406
3,0.9309816611915911,0.9410175754017002,0.46549083059579555,0.4705087877008501,0.9374336560245493,0.9574803066387106,0.9250818928278411,0.925683529629996,0.9309816561930546,0.941017570404694,0.9866547362972996,0.9894661213715408,0.01334526343917888,0.010533878429522437,0.01334526343917888,0.010533878429522437,49.53437113761902,0.05443638780464729,0.041233382157741055,0.19636366102430555,0.05898242227492794,3.257691553274954e-05,0.06326436996459961
4,0.9419493592677995,0.9437780834651613,0.4709746796338998,0.47188904173258067,0.9478861825590885,0.9440379576616429,0.9364838828644513,0.9444427469661356,0.9419493542690289,0.9437780784676602,0.9887583083335808,0.9896917975193595,0.011241691445724832,0.010308202235929428,0.011241691445724832,0.010308202235929428,49.60102033615112,0.040748903088064656,0.034828710339723096,0.1419337387714121,0.056221913906835744,3.1121604597286145e-05,0.06043815612792969
5,0.9499294103174051,0.9472792810750182,0.47496470515870254,0.4736396405375091,0.9537177579998234,0.9509811942465298,0.9464345347649785,0.9445639746260892,0.9499294053181507,0.9472792760776954,0.9902813292994647,0.9904820757107999,0.009718670480651781,0.009517924063989231,0.009718670480651781,0.009517924063989231,49.47963738441467,0.03348837779938347,0.034254960355258754,0.11334507995181614,0.05272071784542453,3.103100062644322e-05,0.060262203216552734
6,0.9522802155437089,0.9389036295425223,0.47614010777185445,0.46945181477126113,0.9558849819583322,0.9063549904086181,0.9489911128062443,0.975532174568791,0.9522802105445152,0.9389036245538831,0.9907387696853801,0.9882321623413443,0.00926123010706053,0.011767837429238905,0.00926123010706053,0.011767837429238905,49.46995425224304,0.030715444435675938,0.035443350552551205,0.10017030479179488,0.06109636829745385,2.9576917387061705e-05,0.05743837356567383
7,0.9576739643527605,0.9541716583231984,0.47883698217638027,0.4770858291615992,0.9603791669053364,0.9636482471226228,0.9551176981576065,0.9454979639832019,0.9576739593531207,0.9541716533253374,0.9917782053321298,0.9916865177098609,0.008221794498644562,0.008313482071483327,0.008221794498644562,0.008313482071483327,49.35974884033203,0.02705117766486688,0.02608722871950557,0.08768689922160572,0.04582834243774414,3.117390445037433e-05,0.06053972244262695
8,0.9617888836678569,0.9554725625088333,0.48089444183392843,0.47773628125441664,0.964156320668851,0.9620091999135818,0.9595464860970984,0.949519978245793,0.9617888786681519,0.9554725575103766,0.9925820190737947,0.991883877840909,0.007417980756144971,0.008116121997215574,0.007417980756144971,0.008116121997215574,49.68476366996765,0.024449169920343492,0.026271586787075765,0.07875918390022384,0.04452743837910314,3.060093868895981e-05,0.05942702293395996
9,0.9630781545032264,0.9382792910935746,0.4815390772516132,0.4691396455467873,0.9654181608209988,0.9187504547692771,0.960901329765496,0.9600009448288224,0.9630781495036216,0.9382792860996234,0.9928284404253714,0.9884759378293392,0.00717155940623747,0.011524062032901471,0.00717155940623747,0.011524062032901471,49.57654547691345,0.023389991321083572,0.03295070708038345,0.07418246856994098,0.06172071349236273,3.02085670211902e-05,0.05866503715515137
10,0.9608919498623274,0.9548187820698227,0.4804459749311637,0.47740939103491137,0.9641658753874744,0.9473536054651288,0.9578051440601664,0.963112721862735,0.9608919448627875,0.9548187770720066,0.9924104166512533,0.9917059934733553,0.0075895831655038316,0.008294006328909628,0.0075895831655038316,0.008294006328909628,49.579314947128296,0.024210404307167564,0.02732213087860615,0.07539158645603392,0.04518121865487868,3.1786893104058214e-05,0.061730146408081055
11,0.9648324094884527,0.9555064643193995,0.48241620474422636,0.4777532321596997,0.9671755228065761,0.9639543883270377,0.962645186480784,0.9479351225188876,0.9648324044888275,0.9555064593217332,0.9931732867462466,0.9918364118201292,0.006826713099144399,0.008163587911234747,0.006826713099144399,0.008163587911234747,49.56689453125,0.02215331774722371,0.025006435751434294,0.06892802276545101,0.044493538718069756,3.1083668788355974e-05,0.060364484786987305
12,0.9688227010157048,0.9620143058931029,0.4844113505078524,0.48100715294655144,0.9708403322451643,0.9625698474320754,0.9668810355308433,0.9618506661004055,0.9688226960158706,0.9620143008941349,0.9939427662859059,0.9929897042103878,0.006057233572290797,0.007010295716745238,0.006057233572290797,0.007010295716745238,49.46004390716553,0.02012053647518365,0.022861718019891168,0.06352472843395339,0.037985692101140174,3.173201508919807e-05,0.061623573303222656
13,0.9704713818923657,0.9599992222426149,0.48523569094618285,0.47999961112130746,0.9722560341605294,0.9459267554373094,0.9687560036461148,0.9751479227638675,0.9704713768925143,0.9599992172455444,0.9942653528849288,0.9924221846504994,0.005734647000079147,0.0075778151306534,0.005734647000079147,0.0075778151306534,49.59072399139404,0.01922125726317366,0.024625642825999567,0.06079017991820971,0.04000077901347991,3.275051175872771e-05,0.06360149383544922
14,0.971324935945262,0.9615803177776197,0.485662467972631,0.4807901588888098,0.973040960798427,0.9558278655326443,0.9696859577542027,0.9678977444319409,0.9713249309454299,0.9615803127791225,0.9944287271210648,0.9928865046794811,0.005571272754524317,0.007113495083045094,0.005571272754524317,0.007113495083045094,49.54969596862793,0.01877663734032669,0.023215955453774622,0.05932149663567543,0.038419679287941225,3.142828307854036e-05,0.06103372573852539
15,0.9715502702436949,0.9631194125129813,0.48577513512184745,0.48155970625649064,0.9734131754773531,0.9659361548936768,0.9697563394590958,0.9607139191295648,0.9715502652438422,0.9631194075140502,0.9944723345053309,0.9931881078457203,0.0055276653664704,0.006811892012915303,0.0055276653664704,0.006811892012915303,49.49158000946045,0.01859326618594221,0.022402933738645044,0.0587263624701235,0.03688059122331681,3.1455537931558153e-05,0.06108665466308594
16,0.9718924852302039,0.9618294953985962,0.48594624261510194,0.4809147476992981,0.973524503018241,0.9565686785687135,0.9703366053096312,0.9676807858905968,0.9718924802303694,0.9618294904001696,0.9945400554001937,0.992888695501512,0.0054599444653528435,0.007111304334454959,0.0054599444653528435,0.007111304334454959,49.59079718589783,0.01835764250588707,0.02223060099828628,0.05790325957867834,0.038170504954553416,3.1479723544371235e-05,0.061133623123168945
17,0.9724566106358176,0.9612129099636086,0.4862283053179088,0.4806064549818043,0.9742624988273683,0.9704293157850528,0.9707132117225687,0.9523846316538221,0.972456605635948,0.9612129049645874,0.994646644977608,0.992979172513632,0.005353354894193924,0.007020827330228302,0.005353354894193924,0.007020827330228302,49.63699984550476,0.017997585702687502,0.02324451758496223,0.056793408261405096,0.03878709000925864,3.084807391024274e-05,0.059906959533691406
18,0.9727711372768374,0.9607175103405472,0.4863855686384187,0.4803587551702736,0.9742674369562345,0.9514466551055281,0.9713239560034884,0.9713691245825073,0.9727711322769336,0.9607175053443828,0.9947077448681146,0.992551448519978,0.005292255014258747,0.007448551365204396,0.005292255014258747,0.007448551365204396,49.43181014060974,0.017839976431181032,0.024874989994831623,0.05616463927759065,0.03928248728475263,3.100742886167108e-05,0.060216426849365234
19,0.9749171371808905,0.962556084091611,0.48745856859044523,0.4812780420458055,0.9761917844298493,0.9553364782147442,0.9736852860113054,0.9706040464182144,0.9749171321809698,0.9625560790938484,0.9951270748870541,0.9929697541267641,0.004872925045977657,0.007030245765382724,0.004872925045977657,0.007030245765382724,49.622623682022095,0.016792015832227964,0.022743299182864926,0.05324713637431463,0.037443914721089024,3.3042703426215727e-05,0.06416893005371094
20,0.975097120565168,0.962115872896885,0.487548560282584,0.4810579364484425,0.9765434872287643,0.9519194111457797,0.9737019570136888,0.9730338261200215,0.9750971155652692,0.9621158678988037,0.9951629519221754,0.992900621520459,0.004837047973220858,0.007099378403396376,0.004837047973220858,0.007099378403396376,49.541072368621826,0.016655878487250045,0.02338261845251245,0.052788508435090385,0.03788412770917339,3.0803999620903166e-05,0.059821367263793945
